"cod_coordenacao_regional","coordenacao_regional","cod_escola","escola","tipo_escola","endereco_cep","endereco_uf","endereco_localidade","endereco_regiao_administrativa","endereco_bairro","endereco_logradouro","endereco_complemento"
7,CRE - Guará,61,Centro de Ensino Fundamental 08 do Guará,pública,"71050135",DF,Brasília,Guará                         ,Guará II,EQ 13/15 ,area especial
3,CRE - Plano Piloto e Cruzeiro,8,CENTRO DE ENSINO FUNDAMENTAL 01 DE BRASÍLIA,pública,"70345000",DF,Brasília,Brasília                      ,Asa Sul,SQS 106 ,AE
8,CRE - Núcleo Bandeirante,454,Centro de Ensino Médio 01 do Núcleo Bandeirante,pública,"71720592",DF,Brasília,Núcleo Bandeirante            ,Núcleo Bandeirante,Terceira Avenida Área Especial 4 ,Praça Oficial
8,CRE - Núcleo Bandeirante,728,"7 -  INAV_Instituto Nair Valadares",privada,"71880110",DF,Brasília,Riacho Fundo II               ,Riacho Fundo II,QN 8A ,Conjunto 5  Lote 1/2
8,CRE - Núcleo Bandeirante,72,Centro Educacional Agrourbano Ipê do Riacho Fundo,pública,"71884690",DF,Brasília,Riacho Fundo II               ,Riacho Fundo II,CAUB I ,GRANJA IPÊ DF 001
4,CRE - Ceilândia,383,Centro Educacional 06 de Ceilândia,pública,"72231600",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNP 16 ,Area Especial
16,CRE - Recanto das Emas,786,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA ARARA CANINDÉ,pública,"72621412",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 307 Conjunto 11 ,lote 01
12,CRE - Samambaia,209,ESCOLA CLASSE 317 DE SAMAMBAIA,pública,"72307800",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QR 317 ,SAMAMBAIA
12,CRE - Samambaia,576,ESCOLA CLASSE 425 DE SAMAMBAIA,pública,"72327520",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),QS 425 ,AREA ESPECIAL N.º 02
6,CRE - Brazlândia,504,Escola Classe 07 de Brazlândia,pública,"72738000",DF,Brasília,Brazlândia                    ,Vila São José (Brazlândia),Quadra 38 ,Área especial nº 2
16,CRE - Recanto das Emas,799,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA BEIJA FLOR,pública,"72601309",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 107 Conjunto 8 ,Lote 01
16,CRE - Recanto das Emas,787,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA QUERO QUERO,pública,"72631227",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 406 Conjunto Z1 ,Lote 01
7,CRE - Guará,393,Escola Classe 01 do Guará,pública,"71020003",DF,Brasília,Guará                         ,Guará I,QE 3 ,AREA ESPECIAL LOTE A
9,CRE - Planaltina,521,ESCOLA CLASSE 06 DE PLANALTINA,pública,"73360500",DF,Brasília,Planaltina                    ,Setor Residencial Leste (Planaltina),Quadra 5 ,EQ 5/6 EP02 Proj G Vila Buriti
15,CRE - São Sebastião,733,OÁSIS- OBRAS ASSISTENCIAIS A INFANCIA E A SOCIEDADE,privada,"70040020",DF,Brasília,Brasília                      ,Asa Norte,SBN Quadra 2 ,CL 103 LOTE F - ÁREA ESPECIAL - SANTA MA
16,CRE - Recanto das Emas,775,ASSOCIAÇÃO BENÉFICA CORAÇÃO DE CRISTO,privada,"72620200",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 301 ,LOTE 26
4,CRE - Ceilândia,379,Centro de Ensino Médio 02 de Ceilândia,pública,"72210141",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNM 14 Área Especial A ,AE
7,CRE - Guará,876,CRECHE COMUNITÁRIA DA QE 38 DO GUARÁ,privada,"70040020",DF,Brasília,Brasília                      ,Asa Norte,SBN Quadra 2 ,ED. PHENÍCIA
11,CRE - Taguatinga,309,CENTRO DE ENSINO FUNDAMENTAL 21 DE TAGUATINGA,pública,"72161800",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNL 28 ,EQNL28/30  A/E 27
5,CRE - Gama,47,ESCOLA CLASSE 29 DO GAMA,pública,"72410730",DF,Brasília,Gama                          ,Setor Sul (Gama),EQ 13/15 (Áreas Especiais),area especial
11,CRE - Taguatinga,293,ESCOLA CLASSE 10 DE TAGUATINGA,pública,"72020180",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSD 18 ,Area especial 23
3,CRE - Plano Piloto e Cruzeiro,163,ESCOLA CLASSE 711 NORTE,pública,"72220140",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNN 14 ,qw
10,CRE - Sobradinho,95,CENTRO DE ENSINO FUNDAMENTAL 07 DE SOBRADINHO,pública,"73062303",DF,Brasília,Sobradinho II                 ,Setor Oeste (Sobradinho II),AR 13 Conjunto 3 ,CONJUNTO 5 LOTE 1
11,CRE - Taguatinga,331,CAIC PROFESSOR WALTER JOSÉ DE MOURA,pública,"71966700",DF,Brasília,Águas Claras                  ,Areal (Águas Claras),QS 7 ,AE 02 LOTES 04/10
11,CRE - Taguatinga,299,ESCOLA CLASSE 17 DE TAGUATINGA,pública,"72015034",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSA 3/5 Área Especial 1 ,QSA 03/05 Área Especial 1
3,CRE - Plano Piloto e Cruzeiro,272,CENTRO DE ENSINO MÉDIO SETOR OESTE,pública,"70390120",DF,Brasília,Brasília                      ,Asa Sul,SGAS 912 ,MOD D
3,CRE - Plano Piloto e Cruzeiro,828,Escola Parque 303/304 Norte,pública,"70735400",DF,Brasília,Brasília                      ,Asa Norte,EQN 303/304 ,area especial
8,CRE - Núcleo Bandeirante,455,Centro de Ensino Médio Júlia Kubitschek,pública,"71727200",DF,Brasília,Candangolândia                ,Candangolândia,Quadra QRO A ,AE 01
7,CRE - Guará,400,Centro Educacional 01 do Guará,pública,"71065345",DF,Brasília,Guará                         ,Guará II,EQ 34/36 ,AREA ESPECIAL - GUARÁ II
12,CRE - Samambaia,819,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA ANGICO,pública,"72311400",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QN 503 ,QN 503
16,CRE - Recanto das Emas,142,CENTRO EDUCACIONAL 104 DO RECANTO DAS EMAS,pública,"72600412",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 104 Conjunto 10-A ,AE
13,CRE - Paranoá,872,TIA NAIR - PARANOÁ,privada,"70040020",DF,Brasília,Brasília                      ,Asa Norte,SBN Quadra 2 ,"10º"
9,CRE - Planaltina,84,CENTRO EDUCACIONAL TAQUARA,pública,"73310150",DF,Brasília,Planaltina                    ,Setor de Educação (Planaltina),Setor Educacional ,DF 230 KM 22 NUCLEO RURAL TAQUARA
10,CRE - Sobradinho,815,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA CANELA - DE - EMA,pública,"73062508",DF,Brasília,Sobradinho II                 ,Setor Oeste (Sobradinho II),AR 15 Conjunto 8 ,AR 15 Conjunto 08
9,CRE - Planaltina,205,CENTRO EDUCACIONAL OSÓRIO BACCHIN,pública,"73380160",DF,Brasília,Planaltina                    ,Setor Residencial Mestre D'Armas (Planaltina),Núcleo Rural Jardim Morumbí ,QD. G LOTE 22
3,CRE - Plano Piloto e Cruzeiro,277,CENTRO EDUCACIONAL DO LAGO,pública,"71625100",DF,Brasília,Lago Sul                      ,Setor de Habitações Individuais Sul,SHIS QI 9 Conjunto 10 ,LT H AE
16,CRE - Recanto das Emas,873,PROJETO INTEGRAL PRÓ VIDA,privada,"72610350",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Avenida Vargem da Bênção ,NÚCLEO RURAL VARGEM DA BENÇÃO CHA 29
8,CRE - Núcleo Bandeirante,717,"8 - São Lucas_Centro Comunitário São Lucas - Unidade II - Candangolândia",privada,"71725300",DF,Brasília,Candangolândia                ,Candangolândia,QR 3 ,PRAÇA DO BOSQUE 4
6,CRE - Brazlândia,871,TIA NAIR - Unidade 3,privada,"70040020",DF,Brasília,Brasília                      ,Asa Norte,SBN Quadra 2 ,SEDF sede I
15,CRE - São Sebastião,635,CENTRO EDUCACIONAL SÃO FRANCISCO,pública,"71693317",DF,Brasília,São Sebastião                 ,São Francisco (São Sebastião),Quadra 17 ,lote 100
11,CRE - Taguatinga,399,ESCOLA CLASSE COLÔNIA AGRÍCOLA VICENTE PIRES,pública,"72110800",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),Setor Habitacional Vicente Pires ,Area esp. 01
16,CRE - Recanto das Emas,112,CENTRO EDUCACIONAL MYRIAM ERVILHA,pública,"72669425",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Condomínio Residencial Salomão Elias Área Especial ,DF 280 KM 02 Setor Água Quente
11,CRE - Taguatinga,638,CENTRO DE EDUCAÇÃO INFANTIL ÁGUAS CLARAS,pública,"71978700",DF,Brasília,Águas Claras                  ,Areal (Águas Claras),QS 11 ,Conj R Área Especial
6,CRE - Brazlândia,516,Escola Normal de Brazlândia,pública,"73100300",DF,Brasília,Sobradinho                    ,Núcleo Rural Lago Oeste (Sobradinho),Rua 10 ,
3,CRE - Plano Piloto e Cruzeiro,155,CENTRO DE ENSINO FUNDAMENTAL 214 SUL,pública,"70293000",DF,Brasília,Brasília                      ,Asa Sul,SQS 214 ,AE S/N
6,CRE - Brazlândia,501,Escola Classe 03 de Brazlândia,pública,"72710067",DF,Brasília,Brazlândia                    ,Setor Norte (Brazlândia),EQ 6/8 ,lote 
14,CRE - Santa Maria,338,CENTRO DE ENSINO MÉDIO 417 DE SANTA MARIA,pública,"72547240",DF,Brasília,Santa Maria                   ,Santa Maria,CL 417 ,Lote A 
14,CRE - Santa Maria,618,JARDIM DE INFÂNCIA 116 DE SANTA MARIA,pública,"72546400",DF,Brasília,Santa Maria                   ,Santa Maria,QR 116 ,CONJUNTO H LOTE 09 ÁREA ESPECIAL
13,CRE - Paranoá,204,CENTRO DE ENSINO FUNDAMENTAL JARDIM II DO PARANOÁ,pública,"73370994",DF,Brasília,,,Núcleo Rural do Jardim - Rodovia DF 285 km 23,BR 251 DF 285
13,CRE - Paranoá,636,Centro de Ensino Fundamental Doutora Zilda Arns,pública,"71590000",DF,Brasília,Itapoã                        ,Itapoã I,Itapoã ,QD 378 CONJUNTO N AE 02
5,CRE - Gama,483,ESCOLA CLASSE 18 DO GAMA,pública,"72410300",DF,Brasília,Gama                          ,Setor Sul (Gama),Quadra 5 ,Conjunto D Área Especial
16,CRE - Recanto das Emas,147,Centro Educacional 308 do Recanto das Emas,pública,"72622112",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 308 Conjunto 12 ,Lote 01 - AE
12,CRE - Samambaia,581,ESCOLA CLASSE 512 DE SAMAMBAIA,pública,"72312706",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QN 512 Conjunto 6 ,Area Especial S/N
10,CRE - Sobradinho,436,CENTRO EDUCACIONAL 04 DE SOBRADINHO,pública,"73062109",DF,Brasília,Sobradinho II                 ,Setor Oeste (Sobradinho II),AR 10 Conjunto 9 ,LOTE  01 SETOR OESTE
3,CRE - Plano Piloto e Cruzeiro,843,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA GAVIÃO,pública,"71530200",DF,Brasília,Lago Norte                    ,Setor de Habitações Individuais Norte,SHIN QI 16 ,Lotes A e B
4,CRE - Ceilândia,719,SOCIEDADE SÃO VICENTE PAULO - C FREDERICO OZANAM,privada,"72215310",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNM 31 ,a
11,CRE - Taguatinga,450,ESCOLA CLASSE ARNIQUEIRA,pública,"71994010",DF,Brasília,Águas Claras                  ,Setor Habitacional Arniqueira (Águas Claras),SHA Conjunto 4 ,LOTE 05 AREA ESPECIAL
3,CRE - Plano Piloto e Cruzeiro,747,ASSOCIAÇÃO CRUZ DE MALTA - NOSSA SRA DO FILERMO,privada,"70790080",DF,Brasília,Brasília                      ,Asa Norte,SGAN 908 ,a
8,CRE - Núcleo Bandeirante,69,Centro de Ensino Fundamental Telebrasília,pública,"71805132",DF,Brasília,Riacho Fundo I                ,Riacho Fundo I,QN 1 Conjunto 32 ,Lote 1/2
9,CRE - Planaltina,523,ESCOLA CLASSE 09 DE PLANALTINA,pública,"73350163",DF,Brasília,Planaltina                    ,Setor Residencial Norte (Planaltina),Conjunto C ,Via WL 01
7,CRE - Guará,660,CENTRO DE ENSINO FUNDAMENTAL 02 DA ESTRUTURAL,pública,"71300000",DF,Brasília,SCIA                          ,Vila Estrutural (Guará),Vila Estrutural ,area especial
9,CRE - Planaltina,527,ESCOLA CLASSE 02 DO ARAPOANGA,pública,"73370100",DF,Brasília,Planaltina                    ,Arapoanga (Planaltina),Condomínio Arapoanga ,Q 21 Conj F AE
5,CRE - Gama,770,Obras Assistenciais São Sebastião - Nssa Sra do Carmo,privada,"70040020",DF,Brasília,Brasília                      ,Asa Norte,SBN Quadra 2 ,s
9,CRE - Planaltina,82,CENTRO EDUCACIONAL 03 DE PLANALTINA,pública,"73350161",DF,Brasília,Planaltina                    ,Setor Residencial Norte (Planaltina),Conjunto A ,"EQ.: 02/03, Área especial nº01"
9,CRE - Planaltina,88,CENTRO DE ENSINO FUNDAMENTAL PIPIRIPAU II,pública,"73310901",DF,Brasília,Planaltina                    ,Setor Administrativo (Planaltina),Administração Regional de Planaltina (RA-VI) - Setor Administrativo,BR 020 DF 365/DF 017 NR PIPIRIPAU
